,UserID,followers,engagements,recent,postFreq
0,james_hack03,22,7.954545454545454,24,2.0833333333333335
1,cadlingsuk,10,5.0,2,25.0
2,charles__hack,15349,0.0036935900310005065,127,0.3937007874015748
3,ray_tec01,1881,0.09027511827063898,987,0.05065856129685917
4,_raspberry_pi_,2844,0.10455992301428678,38,1.3157894736842106
